2009-9,2010-3,2012-1,2012-11,2014-4,2009-6,2009-8,2010-6,2010-8,2010-10,2011-6,2011-7,2011-10,2012-3,2012-7,2012-9,2013-5,2013-9,2009-11,2011-3,2011-11,2011-12,2013-1,2013-12,2014-5,2009-7,2009-12,2010-1,2010-5,2010-7,2010-11,2010-12,2011-1,2011-9,2013-4,2013-6,2013-7,2014-7,2009-2,2009-3,2009-10,2010-4,2011-2,2011-4,2012-8,2012-12,2013-3,2014-1,2014-6,2010-9,2011-5,2012-4,2012-10,2013-8,2013-10,2013-11,2014-3,2009-5,2012-6,2011-8,2012-5,2012-2,2013-2,2014-2,2010-2,2009-4,2009-1,plz,lat,lon
181.83599999999998,277.81,226.091,110.43,14.899999999999999,118.31700000000001,269.306,1465.7599999999998,167.81,91.03,308.0799999999999,282.15500000000003,226.073,1229.8200000000004,69.85,188.83999999999997,175.265,39.21,150.26999999999998,174.64499999999998,194.875,734.09,40.25,64.46000000000001,37.34,359.96000000000004,595.3149999999999,9.36,338.075,238.43000000000004,39.83,337.44499999999994,15.2,77.035,93.97500000000001,128.17,109.71000000000001,14.879999999999999,11.7,75.60000000000001,199.83499999999998,142.987,8.51,742.5099999999999,82.695,93.7,290.26499999999993,53.0,66.63499999999999,548.22,92.74,385.365,163.14499999999998,65.54499999999999,47.794999999999995,61.910000000000004,28.43,64.86999999999999,6.0,354.78499999999997,37.55,54.965,34.779999999999994,42.239999999999995,16.67,127.95,,52538,5.972,51.011
33.973,44.35,77.94,17.445,,21.66,109.458,844.2719999999999,20.7,65.24199999999999,69.80999999999999,187.45499999999998,31.39,1025.845,,10.26,65.95,7.8,293.735,18.490000000000002,81.605,546.7199999999999,255.31499999999997,54.245,80.65,10.32,149.538,82.96,86.53800000000001,96.78999999999999,20.875,462.185,234.12,105.41,26.46,27.9,14.12,,,,194.94,132.342,,24.51,,6.37,17.745,27.564999999999998,,89.14,37.964999999999996,364.55,536.55,,4.9,11.25,21.2,7.26,48.96,204.86,98.64,142.24,8.36,,17.174999999999997,5.04,,47559,6.018,51.789
122.365,521.035,1059.575,341.45,109.762,460.415,485.877,2093.9849999999997,252.44,108.37899999999999,779.9350000000001,624.43,393.80100000000004,1165.22,146.09499999999997,577.43,121.44999999999999,69.729,627.1599999999999,206.57999999999998,636.3159999999999,1724.28,75.66499999999999,25.404999999999998,261.85,367.975,1081.8750000000005,12.66,1522.8049999999994,406.7950000000001,172.66,308.995,143.325,425.12,108.27000000000001,46.64999999999999,151.01999999999998,264.89,5.4,335.32,498.065,376.615,20.305,133.685,102.58500000000001,131.065,143.75499999999997,90.38,67.41,418.04200000000003,571.6800000000001,69.44500000000001,183.52000000000004,165.79999999999995,92.17999999999999,67.35000000000001,36.66,265.63000000000005,327.96999999999997,233.75,140.39499999999998,181.82999999999998,74.945,34.355000000000004,201.35500000000002,97.63,,52525,6.089,51.054
,35.2,8.3,28.99,12.73,12.85,14.8,40.07,5.4,9.62,5.46,40.019999999999996,21.397999999999996,,12.87,3.525,42.775,,30.209999999999997,,9.315000000000001,23.665,,,7.390000000000001,,5.859999999999999,,6.84,8.77,52.785000000000004,20.21,4.68,10.85,13.29,,,2.04,5.85,,3.375,85.2,,4.83,37.32,8.84,9.87,,12.485,7.2,14.713999999999999,4.56,26.020000000000003,2.08,7.8999999999999995,8.64,10.35,10.055,14.9,12.0,43.38,25.290000000000003,4.9,13.870000000000001,4.375,8.35,,52074,6.036,50.774
271.42,19.5,109.65,244.565,3.6,29.88,112.345,165.28599999999997,114.99000000000001,47.08,47.56999999999999,96.52499999999999,22.044999999999998,509.13500000000005,18.37,30.810000000000002,31.754999999999995,117.97,84.855,10.36,85.12500000000001,879.6750000000001,65.32000000000001,,24.25,52.74,93.325,28.8,84.625,6.4,15.780000000000001,89.6,,5.28,50.879000000000005,29.57,11.59,21.164,6.3,10.704,45.96,38.135,,6.65,5.46,800.0300000000001,127.24,24.66,7.02,68.5,15.850000000000001,13.24,62.41,88.115,,6.885,21.44,8.55,37.269999999999996,12.350000000000001,5.26,49.78,34.79,13.26,18.240000000000002,35.68,,52531,6.104,50.927
66.864,291.695,167.495,54.105,55.995000000000005,52.845,326.90700000000004,698.569,21.979999999999997,118.265,277.695,755.1390000000004,56.41,1043.55,154.35500000000002,82.715,108.675,137.06,125.29,23.794999999999998,282.17,800.1449999999998,106.765,24.290000000000003,11.265,153.99400000000003,480.985,23.340000000000003,183.08,566.77,156.58,672.2,3.15,299.84,59.760000000000005,26.39,23.44,96.435,,43.99000000000001,260.823,135.03,32.26,206.07,70.91,103.48999999999998,44.32,115.91,18.605,325.1449999999999,147.855,64.455,196.82000000000002,,97.97,37.105000000000004,22.22,204.474,25.845,97.14500000000001,84.125,86.265,11.649999999999999,30.209999999999997,249.48,63.66,4.5,52511,6.131,50.973
11.350000000000001,4.56,,27.3,,43.379999999999995,5.04,5.18,25.409999999999997,,22.4,331.95,,31.970000000000002,4.92,12.73,4.94,3.2,3.3,,1265.811,1293.825,4.56,,,16.740000000000002,33.54,4.07,99.36,15.58,5.425,8.82,,298.765,1.96,71.4,,,,,27.31,4.86,2.3,,16.82,2.88,5.88,15.9,,12.254999999999999,2.88,75.36,27.830000000000002,,17.338,9.99,4.32,4.4,7.875,74.5,3.23,5.724,5.55,7.65,3.51,,,52072,6.05,50.822
44.87,170.202,185.0,712.2850000000002,52.44,58.03999999999999,91.155,1429.37,47.476,200.77,703.6249999999999,248.47500000000002,362.795,1861.0299999999997,122.47,49.6,114.435,6.5,225.44799999999998,93.69,243.105,1408.625,420.43000000000006,265.285,18.805,111.62,784.315,128.70999999999998,260.375,1060.35,183.10000000000002,468.01499999999993,1877.58,5.0,225.03,86.37,68.02000000000001,44.78,,102.34,273.78,391.475,,121.225,109.57,138.83500000000004,80.29000000000002,,192.63,833.7549999999999,145.45999999999998,118.12,1156.0099999999998,26.1,60.88,45.415,76.705,59.506,730.78,104.175,298.925,35.25,245.24599999999998,23.165,132.755,19.44,,47574,6.124,51.695
133.803,224.265,190.29,83.69000000000001,5.0,20.34,98.205,984.7299999999999,32.04,452.96,154.87,192.99500000000003,99.42,423.1049999999999,15.010000000000002,20.76,33.25,81.4,220.829,5.4,341.32,750.365,46.86,48.41,55.92,81.39699999999999,1047.93,194.5,173.016,407.66599999999994,280.035,269.495,,112.82,18.245,11.5,22.68,523.855,,,178.39,566.153,,5.17,100.14000000000001,36.14,91.985,27.5,6.24,401.07500000000005,72.07,118.43,14.23,16.47,41.94,181.695,,64.81,,110.04499999999999,88.0,30.45,11.940000000000001,11.780000000000001,12.870000000000001,128.17,,47533,6.125,51.803
131.805,180.25000000000003,32.625,35.78,161.87,10.57,24.06,171.14,11.75,,117.57,58.306,24.945000000000004,91.195,6.24,13.96,5.4,36.375,20.86,33.47,260.855,66.1,43.754999999999995,9.36,5.0,13.5,56.93,29.7,16.625,8.64,68.13,8.58,2.35,131.335,26.765,14.75,19.48,20.81,7.74,,30.799999999999997,66.71000000000001,7.75,25.314999999999998,35.28,10.44,232.23,6.2,6.0,62.96,138.16000000000003,9.69,30.18,5.2,26.459999999999997,15.365,21.740000000000002,2.36,10518.525,100.45200000000001,9.965,12.51,41.09,,10.98,16.91,,52134,6.098,50.864
