2009-09,2010-03,2012-01,2012-11,2014-04,2009-06,2009-08,2010-06,2010-08,2010-10,2011-06,2011-07,2011-10,2012-03,2012-07,2012-09,2013-05,2013-09,2009-11,2011-03,2011-11,2011-12,2013-01,2013-12,2014-05,2009-07,2009-12,2010-01,2010-05,2010-07,2010-11,2010-12,2011-01,2011-09,2013-04,2013-06,2013-07,2014-07,2009-02,2009-03,2009-10,2010-04,2011-02,2011-04,2012-08,2012-12,2013-03,2014-01,2014-06,2010-09,2011-05,2012-04,2012-10,2013-08,2013-10,2013-11,2014-03,2009-05,2012-06,2011-08,2012-05,2012-02,2013-02,2014-02,2010-02,2009-04,2009-01,plz,lat,lon
181.84,277.81,226.09,110.43,14.9,118.32,269.31,1465.76,167.81,91.03,308.08,282.16,226.07,1229.82,69.85,188.84,175.26,39.21,150.27,174.64,194.88,734.09,40.25,64.46,37.34,359.96,595.31,9.36,338.08,238.43,39.83,337.44,15.2,77.04,93.98,128.17,109.71,14.88,11.7,75.6,199.83,142.99,8.51,742.51,82.7,93.7,290.26,53.0,66.63,548.22,92.74,385.36,163.14,65.54,47.79,61.91,28.43,64.87,6.0,354.78,37.55,54.96,34.78,42.24,16.67,127.95,,52538,5.972,51.011
33.97,44.35,77.94,17.44,,21.66,109.46,844.27,20.7,65.24,69.81,187.46,31.39,1025.84,,10.26,65.95,7.8,293.74,18.49,81.6,546.72,255.31,54.24,80.65,10.32,149.54,82.96,86.54,96.79,20.88,462.18,234.12,105.41,26.46,27.9,14.12,,,,194.94,132.34,,24.51,,6.37,17.74,27.56,,89.14,37.96,364.55,536.55,,4.9,11.25,21.2,7.26,48.96,204.86,98.64,142.24,8.36,,17.17,5.04,,47559,6.018,51.789
122.36,521.04,1059.58,341.45,109.76,460.42,485.88,2093.98,252.44,108.38,779.94,624.43,393.8,1165.22,146.09,577.43,121.45,69.73,627.16,206.58,636.32,1724.28,75.66,25.4,261.85,367.98,1081.88,12.66,1522.8,406.8,172.66,309.0,143.32,425.12,108.27,46.65,151.02,264.89,5.4,335.32,498.06,376.62,20.3,133.68,102.58,131.06,143.75,90.38,67.41,418.04,571.68,69.45,183.52,165.8,92.18,67.35,36.66,265.63,327.97,233.75,140.39,181.83,74.94,34.36,201.36,97.63,,52525,6.089,51.054
,35.2,8.3,28.99,12.73,12.85,14.8,40.07,5.4,9.62,5.46,40.02,21.4,,12.87,3.52,42.78,,30.21,,9.32,23.66,,,7.39,,5.86,,6.84,8.77,52.78,20.21,4.68,10.85,13.29,,,2.04,5.85,,3.38,85.2,,4.83,37.32,8.84,9.87,,12.48,7.2,14.71,4.56,26.02,2.08,7.9,8.64,10.35,10.06,14.9,12.0,43.38,25.29,4.9,13.87,4.38,8.35,,52074,6.036,50.774
271.42,19.5,109.65,244.56,3.6,29.88,112.34,165.29,114.99,47.08,47.57,96.52,22.04,509.14,18.37,30.81,31.75,117.97,84.86,10.36,85.13,879.68,65.32,,24.25,52.74,93.32,28.8,84.62,6.4,15.78,89.6,,5.28,50.88,29.57,11.59,21.16,6.3,10.7,45.96,38.14,,6.65,5.46,800.03,127.24,24.66,7.02,68.5,15.85,13.24,62.41,88.12,,6.88,21.44,8.55,37.27,12.35,5.26,49.78,34.79,13.26,18.24,35.68,,52531,6.104,50.927
66.86,291.7,167.5,54.1,56.0,52.84,326.91,698.57,21.98,118.26,277.7,755.14,56.41,1043.55,154.36,82.72,108.68,137.06,125.29,23.8,282.17,800.14,106.76,24.29,11.26,153.99,480.98,23.34,183.08,566.77,156.58,672.2,3.15,299.84,59.76,26.39,23.44,96.44,,43.99,260.82,135.03,32.26,206.07,70.91,103.49,44.32,115.91,18.6,325.14,147.85,64.46,196.82,,97.97,37.11,22.22,204.47,25.84,97.15,84.12,86.26,11.65,30.21,249.48,63.66,4.5,52511,6.131,50.973
11.35,4.56,,27.3,,43.38,5.04,5.18,25.41,,22.4,331.95,,31.97,4.92,12.73,4.94,3.2,3.3,,1265.81,1293.82,4.56,,,16.74,33.54,4.07,99.36,15.58,5.42,8.82,,298.76,1.96,71.4,,,,,27.31,4.86,2.3,,16.82,2.88,5.88,15.9,,12.26,2.88,75.36,27.83,,17.34,9.99,4.32,4.4,7.88,74.5,3.23,5.72,5.55,7.65,3.51,,,52072,6.05,50.822
44.87,170.2,185.0,712.29,52.44,58.04,91.16,1429.37,47.48,200.77,703.62,248.48,362.8,1861.03,122.47,49.6,114.44,6.5,225.45,93.69,243.1,1408.62,420.43,265.29,18.8,111.62,784.32,128.71,260.38,1060.35,183.1,468.01,1877.58,5.0,225.03,86.37,68.02,44.78,,102.34,273.78,391.48,,121.22,109.57,138.84,80.29,,192.63,833.75,145.46,118.12,1156.01,26.1,60.88,45.42,76.7,59.51,730.78,104.18,298.92,35.25,245.25,23.16,132.76,19.44,,47574,6.124,51.695
133.8,224.26,190.29,83.69,5.0,20.34,98.2,984.73,32.04,452.96,154.87,193.0,99.42,423.1,15.01,20.76,33.25,81.4,220.83,5.4,341.32,750.36,46.86,48.41,55.92,81.4,1047.93,194.5,173.02,407.67,280.04,269.5,,112.82,18.24,11.5,22.68,523.86,,,178.39,566.15,,5.17,100.14,36.14,91.98,27.5,6.24,401.08,72.07,118.43,14.23,16.47,41.94,181.7,,64.81,,110.04,88.0,30.45,11.94,11.78,12.87,128.17,,47533,6.125,51.803
131.8,180.25,32.62,35.78,161.87,10.57,24.06,171.14,11.75,,117.57,58.31,24.95,91.2,6.24,13.96,5.4,36.38,20.86,33.47,260.86,66.1,43.76,9.36,5.0,13.5,56.93,29.7,16.62,8.64,68.13,8.58,2.35,131.34,26.76,14.75,19.48,20.81,7.74,,30.8,66.71,7.75,25.32,35.28,10.44,232.23,6.2,6.0,62.96,138.16,9.69,30.18,5.2,26.46,15.36,21.74,2.36,10518.52,100.45,9.96,12.51,41.09,,10.98,16.91,,52134,6.098,50.864
