plz,lat,lon,mw
01067,13.718,51.06,0.507
01069,13.737,51.04,0.521
01097,13.741,51.067,0.184
01099,13.827,51.093,0.831
01108,13.786,51.154,0.685
01109,13.753,51.12,1.266
01127,13.73,51.079,0.057
01129,13.723,51.097,0.091
01139,13.688,51.081,1.678
01156,13.621,51.066,1.056
01157,13.668,51.064,0.356
01159,13.698,51.043,0.265
01169,13.666,51.04,1.232
01187,13.7,51.027,0.206
01189,13.702,51.014,1.33
01217,13.743,51.016,0.336
01219,13.766,51.023,0.67
01237,13.799,51.018,2.838
01239,13.785,51.0,0.23
01257,13.815,50.998,0.537
01259,13.848,50.996,0.551
01277,13.797,51.036,0.112
01279,13.827,51.027,0.168
01307,13.77,51.054,0.176
01309,13.789,51.049,0.126
01324,13.846,51.06,0.21
01326,13.858,51.026,0.151
01328,13.908,51.042,1.237
01445,13.641,51.113,0.855
01454,13.914,51.14,2.761
01458,13.821,51.177,3.652
01465,13.852,51.139,0.598
01468,13.666,51.162,1.136
01471,13.73,51.192,3.891
01477,13.983,51.092,0.495
01558,13.538,51.29,10.791
01561,13.633,51.296,16.265
01587,13.271,51.302,2.145
01589,13.324,51.293,1.24
01591,13.244,51.317,2.294
01594,13.291,51.259,1.358
01609,13.426,51.392,14.776
01612,13.408,51.295,0.685
01616,13.23,51.361,2.056
01619,13.315,51.368,2.263
01623,13.294,51.205,3.621
01640,13.577,51.138,7.336
01662,13.48,51.159,12.11
01665,13.447,51.136,8.98
01683,13.314,51.097,9.027
01689,13.561,51.183,5.187
01705,13.636,50.998,1.759
01723,13.505,51.029,2.953
01728,13.723,50.981,2.3
01731,13.756,50.949,0.429
01734,13.666,50.951,0.396
01737,13.522,50.969,0.556
01738,13.553,50.935,0.288
01744,13.648,50.864,1.773
01762,13.578,50.808,0.466
01768,13.758,50.863,1.303
01773,13.728,50.777,0.236
01774,13.548,50.895,1.819
01776,13.644,50.76,0.473
01778,13.839,50.765,0.223
01796,13.96,50.946,5.165
01809,13.841,50.946,5.272
01814,14.193,50.902,0.352
01816,13.964,50.831,0.744
01819,13.932,50.88,3.704
01824,14.081,50.879,0.761
01825,13.858,50.847,1.19
01829,14.008,50.961,0.309
01833,14.057,51.04,5.202
01844,14.223,51.037,2.263
01847,14.015,50.985,0.171
01848,14.139,50.98,0.462
01855,14.29,50.94,1.6
01877,14.204,51.126,2.394
01896,14.004,51.191,2.228
01900,14.031,51.145,1.056
01904,14.325,51.08,0.78
01906,14.205,51.187,1.867
01909,14.079,51.109,1.554
01917,14.109,51.28,16.46
01920,14.134,51.272,11.697
01936,13.903,51.29,24.597
01945,13.877,51.425,10.609
01968,14.023,51.521,85.349
01979,13.754,51.503,4.602
01983,13.987,51.594,14.541
01987,13.855,51.483,10.352
01990,13.734,51.384,1.434
01993,13.886,51.511,2.341
01994,13.927,51.558,3.057
01996,14.031,51.459,0.844
01998,13.887,51.543,71.521
02625,14.414,51.191,8.18
02627,14.417,51.274,44.636
02633,14.315,51.168,0.997
02681,14.416,51.092,1.314
02689,14.43,51.047,1.212
02692,14.417,51.136,1.729
02694,14.534,51.263,2.525
02699,14.32,51.291,2.961
02708,14.664,51.088,14.866
02727,14.609,50.974,2.447
02730,14.599,51.007,2.172
02733,14.525,51.1,0.937
02736,14.512,51.067,0.632
02739,14.651,50.992,2.335
02742,14.543,51.032,0.321
02747,14.758,51.01,2.529
02748,14.826,51.048,1.262
02763,14.776,50.903,14.956
02779,14.679,50.903,0.952
02782,14.604,50.936,0.566
02785,14.761,50.874,1.864
02788,14.859,50.959,10.357
02791,14.72,50.961,2.561
02794,14.657,50.948,1.174
02796,14.69,50.853,0.049
02797,14.751,50.84,0.038
02799,14.645,50.865,0.063
02826,14.979,51.147,1.352
02827,14.954,51.108,3.457
02828,14.982,51.19,6.711
02829,14.918,51.182,6.003
02894,14.77,51.161,1.711
02899,14.907,51.037,0.843
02906,14.74,51.286,6.668
02923,14.882,51.301,23.558
02929,14.945,51.355,43.865
02943,14.597,51.413,5.328
02953,14.664,51.548,0.252
02956,14.802,51.41,2.767
02957,14.793,51.474,0.286
02959,14.522,51.523,1.712
02977,14.219,51.427,18.785
02979,14.306,51.489,43.721
02991,14.098,51.452,41.161
02994,14.067,51.375,3.762
02997,14.241,51.381,1.613
02999,14.398,51.385,2.087
03042,14.377,51.762,3.995
03044,14.333,51.781,13.902
03046,14.311,51.759,1.341
03048,14.305,51.737,0.366
03050,14.34,51.732,1.447
03051,14.381,51.715,3.469
03052,14.441,51.778,13.717
03053,14.386,51.805,0.115
03054,14.351,51.831,0.254
03055,14.309,51.813,0.286
03058,14.432,51.688,18.254
03096,14.2,51.839,3.03
03099,14.199,51.754,10.345
03103,14.134,51.601,0.113
03116,14.217,51.665,0.933
03119,14.21,51.56,19.693
03130,14.438,51.588,17.792
03149,14.602,51.726,14.122
03159,14.656,51.632,133.544
03172,14.571,51.959,18.655
03185,14.413,51.877,81.274
03197,14.526,51.88,31.955
03205,13.907,51.73,23.485
03222,13.951,51.849,2.756
03226,14.062,51.769,6.922
03229,14.023,51.662,14.214
03238,13.725,51.596,103.719
03246,13.766,51.72,0.488
03249,13.636,51.702,4.742
03253,13.493,51.63,8.945
04103,12.391,51.331,0.203
04105,12.36,51.351,0.062
04107,12.37,51.33,0.069
04109,12.365,51.339,0.104
04129,12.388,51.372,0.832
04155,12.361,51.361,0.072
04157,12.365,51.375,0.108
04158,12.334,51.402,13.938
04159,12.302,51.377,0.759
04177,12.332,51.339,0.081
04178,12.271,51.354,1.971
04179,12.314,51.345,0.302
04205,12.268,51.325,0.376
04207,12.274,51.306,0.977
04209,12.295,51.319,0.555
04229,12.337,51.321,0.801
04249,12.3,51.276,2.481
04275,12.372,51.32,0.168
04277,12.371,51.305,0.219
04279,12.399,51.292,0.238
04288,12.472,51.292,3.577
04289,12.428,51.299,0.148
04299,12.425,51.318,0.119
04315,12.408,51.345,0.335
04316,12.467,51.326,0.649
04317,12.404,51.331,0.062
04318,12.426,51.34,0.088
04319,12.506,51.332,8.464
04328,12.45,51.347,0.449
04329,12.469,51.357,0.414
04347,12.423,51.36,4.06
04349,12.446,51.389,1.259
04356,12.436,51.419,0.248
04357,12.409,51.38,0.443
04416,12.387,51.266,1.366
04420,12.21,51.294,16.868
04425,12.508,51.39,8.752
04435,12.245,51.41,15.837
04442,12.309,51.219,2.105
04451,12.541,51.353,9.091
04463,12.474,51.249,1.813
04509,12.362,51.514,71.084
04519,12.359,51.459,6.643
04523,12.235,51.19,0.679
04539,12.308,51.132,1.788
04552,12.502,51.115,12.007
04564,12.386,51.208,2.356
04565,12.403,51.097,0.486
04567,12.545,51.173,1.201
04571,12.425,51.201,0.395
04575,12.413,51.153,0.353
04579,12.503,51.206,1.435
04600,12.438,50.977,9.937
04603,12.367,50.973,28.888
04610,12.341,51.055,6.518
04613,12.33,51.084,0.629
04617,12.33,50.999,21.208
04618,12.576,50.947,1.094
04626,12.308,50.897,24.747
04639,12.421,50.872,1.878
04643,12.685,51.057,2.555
04651,12.657,51.147,10.294
04654,12.595,51.079,5.551
04655,12.601,51.008,1.239
04657,12.683,51.014,1.439
04668,12.758,51.23,21.383
04680,12.799,51.131,6.183
04683,12.575,51.27,14.769
04687,12.729,51.286,8.092
04703,12.938,51.176,15.972
04720,13.126,51.142,21.462
04736,13.036,51.074,2.098
04741,13.176,51.078,9.58
04746,12.969,51.113,2.864
04749,13.131,51.202,1.984
04758,13.122,51.339,13.76
04769,13.053,51.237,1.803
04774,12.985,51.382,3.905
04779,12.964,51.301,2.209
04808,12.803,51.388,27.436
04821,12.626,51.325,12.577
04824,12.564,51.32,0.471
04827,12.613,51.364,0.367
04828,12.689,51.355,2.403
04838,12.621,51.488,33.818
04849,12.642,51.595,5.894
04860,12.949,51.558,9.222
04861,13.001,51.506,1.328
04862,12.831,51.511,2.33
04874,13.12,51.458,1.632
04880,12.845,51.619,7.857
